title,channel_title,views,views_per_hour,upload_date,duration,category,date_on_ trending,like_ratio
Marvel Studios' Avengers: Endgame - Official Trailer,Marvel Entertainment,34581399,1100000,190314,2.26,Entertainment,19.15.03,98.9
Shaq Tries to Not Make a Face While Eating Spicy Wings | Hot Ones,First We Feast,3385809,144700,190314,31.09,Entertainment,19.15.03,97.6
2019 Australian Grand Prix: FP1 Highlights,FORMULA 1,353829,12200,190314,1.51,Sports,19.15.03,99.4
May wins vote to seek Brexit delay｜#BREXIT,Channel 4 News,134762,155300,190314,14.27,News & Politics,19.15.03,76.4
A Tour Of My Plants,JennaMarbles,2757986,64500,190313,28.49,Comedy,19.15.03,99.2
Everything Wrong With Monsters vs. Aliens,CinemaSins,581892,25500,190314,16.42,Film & Animation,19.15.03,98.3
Bayern Munich vs Liverpool (1-3) | UEFA Champions League Highlights,BT Sport,1582462,10500,190313,7.22,Sports,19.15.03,97.2
Kicked by a Taekwondo Expert,The Slow Mo Guys,472181,19000,190314,11.22,Entertainment,19.15.03,97.7
James Acaster's HILARIOUS Bits from Bake Off! | Celebrity Bake Off for SU2C,Channel 4,412899,8700,190313,4.24,Entertainment,19.15.03,99
"""Please Don't Make Me Eat Anymore"" | Kitchen Nightmares",Kitchen Nightmares,970955,14700,190313,5.05,Entertainment,19.15.03,98.2
Wish.com Vs. Retail Cost (GAME),Good Mythical Morning,877735,21100,190314,14.37,Entertainment,19.15.03,61.8
Aladdin - Official Trailer,Will Smith,6300159,128500,190312,2.45,Entertainment,19.15.03,95.2
SURVIVE *TINY* NEW YORK *NEW* Game Mode in Fortnite Battle Royale!,SSundee,1190285,30400,190314,17.43,Gaming,19.15.03,98.5
Iggy Azalea - Sally Walker (Official Music Video),Iggy Azalea,1780483,39500,190314,3.08,Music,19.15.03,95.2
49 dead in New Zealand mass shooting | DW News,DW News,1157138,54600,190315,8.34,News & Politics,19.15.03,88
"Rewatch the UEFA Champions League quarter-final, semi-final and final draws!",UEFA.tv,650328,650300,190315,26.32,Sports,19.15.03,97.6
2019 Australian Grand Prix: FP2 Highlights,FORMULA 1,808080,30300,190315,1.51,Sports,19.16.03,99
Eyewitnesses describe horror of Christchurch mosque shooting,Guardian News,565027,11100,190315,1.12,News & Politics,19.16.03,87.8
Mass shooting at Christchurch mosque,CBS News,2371332,46800,190314,15.18,News & Politics,19.16.03,86.4
Woman Told to Cover Up for Wearing a Crop Top on Flight | This Morning,This Morning,519367,10200,190314,9.26,Entertainment,19.16.03,86.8
Bohemian Rhapsody's Terrible Editing - A Breakdown,Thomas Flight,609037,12000,190314,13.1,Film & Animation,19.16.03,94.1
